1.806971,4.607314,7.515013,10.472957,13.368371,1.986432,4.694243,7.589684,10.477637,13.396290,2.297365,4.689893,7.646389,10.559122,13.492726,2.366859,4.484520,7.716798,10.645133,13.529214,2.192588,4.612875,7.792307,10.694830,13.599132,2.963184
1.784169,4.620593,7.511030,10.454686,13.338219,2.015956,4.718460,7.592517,10.469418,13.380637,2.313906,4.715396,7.661020,10.553348,13.473831,2.364401,4.497521,7.735669,10.644485,13.515921,2.187533,4.625283,7.822896,10.705057,13.591713,2.982973
1.824433,4.593223,7.517104,10.491500,13.408551,1.961294,4.662054,7.584467,10.484941,13.415006,2.279806,4.654077,7.631395,10.562314,13.510222,2.364503,4.456884,7.697578,10.642274,13.541143,2.193416,4.589681,7.755485,10.681005,13.603170,2.934254
1.760008,4.632481,7.520180,10.467108,13.358179,2.045119,4.739633,7.602697,10.484088,13.402852,2.333000,4.738712,7.679014,10.566073,13.491242,2.366265,4.516443,7.754264,10.657129,13.531768,2.191618,4.645060,7.849123,10.722958,13.608320,2.998574
1.837873,4.575166,7.513297,10.498181,13.431463,1.941443,4.634064,7.575792,10.483228,13.421011,2.260275,4.624625,7.611866,10.557260,13.511717,2.356329,4.429305,7.668275,10.633017,13.541139,2.187565,4.556065,7.720339,10.663383,13.596415,2.903097
1.735223,4.641408,7.533358,10.485198,13.383626,2.072562,4.754296,7.614664,10.504181,13.429063,2.352324,4.754773,7.696000,10.584553,13.516293,2.366230,4.532908,7.769331,10.673624,13.555626,2.198853,4.663715,7.868205,10.741713,13.632433,3.015326
1.850464,4.558366,7.509224,10.502864,13.442429,1.923830,4.605593,7.567748,10.479132,13.422293,2.239890,4.595733,7.594002,10.551829,13.510891,2.348421,4.400391,7.645457,10.624019,13.539236,2.182858,4.525908,7.683537,10.647154,13.589109,2.869716
1.710569,4.649901,7.546505,10.498432,13.398343,2.095582,4.767175,7.627645,10.522184,13.447533,2.369484,4.768082,7.713772,10.603022,13.535939,2.365924,4.543052,7.784684,10.690826,13.577671,2.204703,4.677281,7.885150,10.764597,13.656436,3.026936
1.865030,4.542192,7.508937,10.513720,13.454351,1.907196,4.574142,7.562681,10.480396,13.428411,2.220366,4.565634,7.578367,10.551707,13.519674,2.344492,4.370982,7.623241,10.619747,13.544127,2.184932,4.497510,7.644815,10.634556,13.588707,2.836587
1.687466,4.655223,7.556890,10.508197,13.410424,2.115699,4.774971,7.637897,10.536776,13.462732,2.383158,4.775878,7.724604,10.617582,13.550706,2.365552,4.544106,7.795496,10.704516,13.595259,2.207985,4.682313,7.894779,10.780537,13.675306,3.029740
