dataset	omega	qv	P_error	P_corr	Ur_error	Ur_corr	Ut_error	Ut_corr	Uz_error	Uz_corr
Test Set	525	0.288	0.053392826	0.951796396	0.199535322	0.519024057	0.107325595	0.904205596	0.090182227	0.84830169
Training Set	525	0.2605	0.044809102	0.924821695	0.07560879	0.867388495	0.138992906	0.90370196	0.130055404	0.918208357
