dataset,omega,qv,P_error,P_corr,Ur_error,Ur_corr,Ut_error,Ut_corr,Uz_error,Uz_corr
Test Set,525,0.288,0.5273812769141462,-0.41400613287328125,0.37382737088123724,-0.20078336687952633,0.0564618884096601,0.9130047434135458,0.38317057327422727,-0.11452118683607063
Training Set,525,0.2605,1.1803740142636807,-0.0224348864762147,0.2896903040919287,0.10211704717933671,0.07353420506310673,0.9927349276639026,0.5303685874409256,0.06325778465115922
