Mean
84386.0533071891
63741.28247182605
-242718.00936426444
-948276.5366487663
-2016054.2425178639
89539.87542222823
87468.03671933754
-142519.86047122016
-722834.4220773223
-1707938.0286986073
90535.56713831445
77500.1291980558
-77781.46232821849
-582017.010491872
-1435390.554170068
97193.11137678298
114108.42208386603
-17361.096883420025
-426243.2165715878
-1239074.9747165525
111250.48789608131
141364.64721804502
26654.090566448536
-319866.2108388192
-1032171.4958645685
