0.140501,0.041811,-0.098094
0.140501,0.053906,-0.098090
0.140500,0.029791,-0.098089
0.140501,0.066150,-0.098076
0.140500,0.017793,-0.098075
0.140501,0.078616,-0.098054
0.140500,0.005742,-0.098052
0.140501,0.091354,-0.098023
0.140500,-0.006461,-0.098020
0.140501,0.104417,-0.097984
0.140500,-0.018904,-0.097980
0.140501,0.117872,-0.097937
0.140500,-0.031661,-0.097934
0.140500,-0.044780,-0.097884
0.140501,0.131768,-0.097881
0.140500,-0.058309,-0.097834
0.140501,0.146139,-0.097818
0.140500,-0.072343,-0.097788
0.140500,-0.086990,-0.097751
0.140501,0.161056,-0.097747
0.140500,-0.102313,-0.097726
0.140499,-0.118274,-0.097713
0.140499,-0.134793,-0.097708
0.140499,-0.151782,-0.097706
0.140498,-0.169051,-0.097706
0.140498,-0.186468,-0.097703
0.140498,0.843148,-0.097697
0.140497,0.825428,-0.097689
0.140497,0.807640,-0.097677
0.140501,0.176585,-0.097669
0.140497,0.789720,-0.097662
0.140497,0.771644,-0.097644
0.140496,0.753490,-0.097624
0.140496,0.735308,-0.097600
0.140501,0.192761,-0.097583
0.140496,0.717188,-0.097574
0.140496,0.699140,-0.097544
0.140496,0.681062,-0.097512
0.140501,0.209638,-0.097490
0.140497,0.662759,-0.097476
0.140497,0.644106,-0.097437
0.140497,0.625024,-0.097394
0.140501,0.227299,-0.097390
0.140498,0.605421,-0.097346
0.140498,0.585216,-0.097292
0.140501,0.245839,-0.097284
0.140498,0.564410,-0.097234
0.140501,0.265335,-0.097174
0.140499,0.542998,-0.097169
0.140499,0.520928,-0.097098
0.140502,0.285837,-0.097063
0.140500,0.498175,-0.097023
0.140502,0.307390,-0.096956
0.140500,0.474789,-0.096945
0.140500,0.450869,-0.096870
0.140502,0.329978,-0.096861
0.140501,0.426553,-0.096805
0.140502,0.353479,-0.096790
0.140501,0.402062,-0.096763
0.140502,0.377620,-0.096755
0.140501,0.041854,-0.096193
0.140501,0.053816,-0.096183
0.140501,0.029971,-0.096183
0.140501,0.065929,-0.096156
0.140500,0.018121,-0.096155
0.140501,0.078272,-0.096111
