train_loss,test_loss,physics_loss,learning_rate
3.691111818192497,3.340979568541996,0.0,0.01
1.7922818641813973,3.013949341244168,0.0,0.01
1.0861724898928689,3.081210038018605,0.0,0.01
0.7324601004994105,2.765350205557687,0.0,0.01
0.530164716262666,2.5399459505838062,0.0,0.01
0.6420997792766208,2.3586397625151134,0.0,0.01
0.4596419168843163,2.239175247767615,0.0,0.01
0.30751971309147186,2.140343223299299,0.0,0.01
0.24832097145300064,2.072480389050075,0.0,0.01
0.20653412124467274,2.038795594185118,0.0,0.01
0.22488183563663847,2.1708278107264687,0.0,0.01
0.1512053901004413,2.074223671640669,0.0,0.01
0.09627185821060151,2.065749618742201,0.0,0.01
0.07694066777115777,2.0117974527298457,0.0,0.01
0.062075088480635296,1.9766331494800629,0.0,0.01
0.09030770066948164,1.9890200826856825,0.0,0.01
0.04996300275836672,1.8975652285984583,0.0,0.01
0.039952669410951554,1.8702236395033578,0.0,0.01
0.031829230280386075,1.8521244128545125,0.0,0.01
0.026760336041213976,1.8223808436166673,0.0,0.01
0.06785340899867671,1.8408498347751678,0.0,0.01
0.036128456926061994,1.8300161267083788,0.0,0.01
0.029466679792792078,1.793171205217876,0.0,0.01
0.03397220012450975,1.79720786071959,0.0,0.01
0.029015697745813265,1.7998468062234303,0.0,0.01
0.10874331118686804,1.8605478415413508,0.0,0.01
0.06002046519683467,1.878101630816384,0.0,0.01
1.3900707548572904,2.7917918439895386,0.0,0.01
0.3197077713788502,2.399393229257493,0.0,0.01
0.3293146462667556,2.5347258136385964,0.0,0.01
0.13821503401748716,2.3165862673804876,0.0,0.01
0.09771559742235002,2.203249897275652,0.0,0.01
0.06322272062774688,2.079863253093901,0.0,0.0085
0.07233503094268223,2.1165174832419744,0.0,0.0085
0.03943703705001445,2.026222813697088,0.0,0.0085
0.030356976573192883,2.0059017983693925,0.0,0.0085
0.02305345636393343,1.981361540537032,0.0,0.0085
0.01821818125862924,1.9764768490715632,0.0,0.0085
0.01595051713760883,1.9849067547964672,0.0,0.0085
0.014096862178236719,1.9787967621334015,0.0,0.0085
0.016383676656654904,1.9825547460525754,0.0,0.0085
0.011411268190140761,1.9724726374187167,0.0,0.0072250000000000005
0.01032987664202376,1.9701231245010618,0.0,0.0072250000000000005
0.00962694465286202,1.9699806712922596,0.0,0.0072250000000000005
0.009530264130305676,1.966963841801598,0.0,0.0072250000000000005
0.008416142625113329,1.9666345119476318,0.0,0.0072250000000000005
0.008137828788705288,1.9602138750136844,0.0,0.0072250000000000005
0.010902502795770055,1.9487394624286227,0.0,0.0072250000000000005
0.007817828931683113,1.9390856746643308,0.0,0.0072250000000000005
0.006835991561058022,1.932646666254316,0.0,0.0072250000000000005
0.0067262472437014656,1.9277659862760514,0.0,0.00614125
0.007186339362450536,1.9255331943905543,0.0,0.00614125
0.009597851126085199,1.9175242393735856,0.0,0.00614125
0.008477019168259133,1.921665763098096,0.0,0.00614125
0.005601421486408938,1.9069373815778703,0.0,0.00614125
0.009374472896553694,1.9098713833188254,0.0,0.00614125
0.007689634345412728,1.8970777780290633,0.0,0.00614125
0.0821607858977384,1.9513672419956751,0.0,0.00614125
0.018121525600907348,1.8746000736478776,0.0,0.00614125
0.005779160171865471,1.8839013803572882,0.0,0.0052200625
0.005172860882585011,1.8881975298836118,0.0,0.0052200625
0.004695941147113603,1.8877299872655717,0.0,0.0052200625
0.004413083676130526,1.884470510104346,0.0,0.0052200625
0.004193575017982059,1.8796135944033425,0.0,0.0052200625
